time,value
"{'interval_start': '2018-12-31T00:00:00Z', 'max': '2019-01-06T13:05:41.560000Z', 'min': '2019-01-01T11:18:35.384000Z'}","{'average': 0.033399107154636155, 'count': 1050, 'max': 0.03731541708111763, 'min': 0.030083676800131798, 'standard deviation': 0.0011935426995873773}"
"{'interval_start': '2019-01-07T00:00:00Z', 'max': '2019-01-13T14:14:56.588000Z', 'min': '2019-01-07T12:45:12.344000Z'}","{'average': 0.03197718218189642, 'count': 979, 'max': 0.039877161383628845, 'min': 0.0276030320674181, 'standard deviation': 0.0014526040616539338}"
"{'interval_start': '2019-01-14T00:00:00Z', 'max': '2019-01-20T13:44:04.495000Z', 'min': '2019-01-14T12:13:51.946000Z'}","{'average': 0.03248112412899753, 'count': 1477, 'max': 0.038479533046483994, 'min': 0.025358926504850388, 'standard deviation': 0.001967875103411924}"
"{'interval_start': '2019-01-21T00:00:00Z', 'max': '2019-01-27T13:12:26.438000Z', 'min': '2019-01-21T11:42:54.630000Z'}","{'average': 0.03172171562811091, 'count': 1129, 'max': 0.03801313415169716, 'min': 0.023929012939333916, 'standard deviation': 0.0019675685626149675}"
"{'interval_start': '2019-01-28T00:00:00Z', 'max': '2019-02-03T14:22:13.439000Z', 'min': '2019-01-28T11:14:15.182000Z'}","{'average': 0.03267443651795005, 'count': 1247, 'max': 0.04178612306714058, 'min': 0.025782065466046333, 'standard deviation': 0.002248437190076355}"
"{'interval_start': '2019-02-04T00:00:00Z', 'max': '2019-02-10T13:50:24.667000Z', 'min': '2019-02-04T12:20:18.023000Z'}","{'average': 0.03271284845811878, 'count': 1256, 'max': 0.03690268471837044, 'min': 0.024499282240867615, 'standard deviation': 0.0016879077337126963}"
"{'interval_start': '2019-02-11T00:00:00Z', 'max': '2019-02-17T13:18:41.613000Z', 'min': '2019-02-11T11:49:03.330000Z'}","{'average': 0.0328593453473066, 'count': 1062, 'max': 0.041980624198913574, 'min': 0.025812901556491852, 'standard deviation': 0.0023653217203567396}"
"{'interval_start': '2019-02-18T00:00:00Z', 'max': '2019-02-24T12:46:28.150000Z', 'min': '2019-02-18T11:18:26.390000Z'}","{'average': 0.03504078179218393, 'count': 1021, 'max': 0.042281098663806915, 'min': 0.02825649082660675, 'standard deviation': 0.002513970596913743}"
"{'interval_start': '2019-02-25T00:00:00Z', 'max': '2019-03-03T13:56:41.536000Z', 'min': '2019-02-25T12:26:14.621000Z'}","{'average': 0.03499169798642897, 'count': 1192, 'max': 0.041277747601270676, 'min': 0.028600327670574188, 'standard deviation': 0.0016747548761852436}"
"{'interval_start': '2019-03-04T00:00:00Z', 'max': '2019-03-10T13:24:54.504000Z', 'min': '2019-03-04T11:55:21.264000Z'}","{'average': 0.033490624184246254, 'count': 1458, 'max': 0.038978300988674164, 'min': 0.02617739327251911, 'standard deviation': 0.002213959747708753}"
"{'interval_start': '2019-03-11T00:00:00Z', 'max': '2019-03-17T12:53:21.767000Z', 'min': '2019-03-11T11:24:16.987000Z'}","{'average': 0.03536087843108187, 'count': 1221, 'max': 0.045163583010435104, 'min': 0.025808772072196007, 'standard deviation': 0.002852170851314405}"
"{'interval_start': '2019-03-18T00:00:00Z', 'max': '2019-03-24T14:02:58.229000Z', 'min': '2019-03-18T12:32:19.385000Z'}","{'average': 0.03549350291934832, 'count': 1459, 'max': 0.044360287487506866, 'min': 0.027425331994891167, 'standard deviation': 0.002498364696863164}"
"{'interval_start': '2019-03-25T00:00:00Z', 'max': '2019-03-31T13:31:08.660000Z', 'min': '2019-03-25T12:01:14.909000Z'}","{'average': 0.03837400529027433, 'count': 1597, 'max': 0.04385014623403549, 'min': 0.03211122378706932, 'standard deviation': 0.0016924969013793639}"
"{'interval_start': '2019-04-01T00:00:00Z', 'max': '2019-04-07T12:59:34.552000Z', 'min': '2019-04-01T11:30:19.101000Z'}","{'average': 0.03548557456063594, 'count': 983, 'max': 0.042027801275253296, 'min': 0.026409054175019264, 'standard deviation': 0.0027982897712415544}"
"{'interval_start': '2019-04-08T00:00:00Z', 'max': '2019-04-14T14:09:02.202000Z', 'min': '2019-04-08T12:38:28.212000Z'}","{'average': 0.038224337150041414, 'count': 1502, 'max': 0.04461447894573212, 'min': 0.030180903151631355, 'standard deviation': 0.0016335144776129977}"
"{'interval_start': '2019-04-15T00:00:00Z', 'max': '2019-04-21T13:37:21.115000Z', 'min': '2019-04-16T11:48:51.568000Z'}","{'average': 0.03834143223041286, 'count': 1138, 'max': 0.04534938931465149, 'min': 0.031960006803274155, 'standard deviation': 0.002105694763812307}"
"{'interval_start': '2019-04-22T00:00:00Z', 'max': '2019-04-28T13:05:40.799000Z', 'min': '2019-04-22T11:36:29.507000Z'}","{'average': 0.03339583253146396, 'count': 1467, 'max': 0.04669065400958061, 'min': 0.024253306910395622, 'standard deviation': 0.002870869524563265}"
"{'interval_start': '2019-04-29T00:00:00Z', 'max': '2019-05-05T14:15:26.322000Z', 'min': '2019-04-29T11:07:07.185000Z'}","{'average': 0.034746437437004514, 'count': 1368, 'max': 0.04096204787492752, 'min': 0.02626706101000309, 'standard deviation': 0.002375096090420536}"
"{'interval_start': '2019-05-06T00:00:00Z', 'max': '2019-05-12T13:43:32.442000Z', 'min': '2019-05-06T12:13:21.511000Z'}","{'average': 0.03338923626098379, 'count': 1704, 'max': 0.03917737677693367, 'min': 0.02673238143324852, 'standard deviation': 0.0018938563465703093}"
"{'interval_start': '2019-05-13T00:00:00Z', 'max': '2019-05-19T13:11:50.158000Z', 'min': '2019-05-13T11:42:24.585000Z'}","{'average': 0.03273204308984942, 'count': 1385, 'max': 0.04046916216611862, 'min': 0.026019303128123283, 'standard deviation': 0.0019901907966307334}"
"{'interval_start': '2019-05-20T00:00:00Z', 'max': '2019-05-26T14:21:34.853000Z', 'min': '2019-05-20T11:13:06.212000Z'}","{'average': 0.030758502597178695, 'count': 1416, 'max': 0.037343937903642654, 'min': 0.023030761629343033, 'standard deviation': 0.002332392942323146}"
"{'interval_start': '2019-05-27T00:00:00Z', 'max': '2019-06-02T13:49:42.848000Z', 'min': '2019-05-27T12:19:25.825000Z'}","{'average': 0.03163774401484879, 'count': 1489, 'max': 0.04841408133506775, 'min': 0.02343701384961605, 'standard deviation': 0.003000467886700193}"
"{'interval_start': '2019-06-03T00:00:00Z', 'max': '2019-06-09T13:17:57.682000Z', 'min': '2019-06-03T11:48:23.615000Z'}","{'average': 0.02950134974320459, 'count': 1469, 'max': 0.04428837075829506, 'min': 0.02216588519513607, 'standard deviation': 0.0024885535790322424}"
"{'interval_start': '2019-06-10T00:00:00Z', 'max': '2019-06-16T14:27:26.705000Z', 'min': '2019-06-10T11:18:40.694000Z'}","{'average': 0.02819932670638024, 'count': 1265, 'max': 0.03597443178296089, 'min': 0.019888345152139664, 'standard deviation': 0.001802718484371693}"
"{'interval_start': '2019-06-17T00:00:00Z', 'max': '2019-06-23T13:55:48.732000Z', 'min': '2019-06-17T12:25:27.390000Z'}","{'average': 0.027370966235329242, 'count': 1456, 'max': 0.032974064350128174, 'min': 0.021705273538827896, 'standard deviation': 0.0017083083616026003}"
"{'interval_start': '2019-06-24T00:00:00Z', 'max': '2019-06-30T13:24:06.934000Z', 'min': '2019-06-24T11:54:26.733000Z'}","{'average': 0.027683484681131843, 'count': 1398, 'max': 0.03336922079324722, 'min': 0.01917281374335289, 'standard deviation': 0.0017431032830457682}"
"{'interval_start': '2019-07-01T00:00:00Z', 'max': '2019-07-07T12:52:30.789000Z', 'min': '2019-07-01T11:23:28.612000Z'}","{'average': 0.026907987690343367, 'count': 1372, 'max': 0.031996581703424454, 'min': 0.020204151049256325, 'standard deviation': 0.001674882032336827}"
"{'interval_start': '2019-07-08T00:00:00Z', 'max': '2019-07-14T14:02:10.860000Z', 'min': '2019-07-08T12:31:32.207000Z'}","{'average': 0.027913743660304767, 'count': 1570, 'max': 0.0359920859336853, 'min': 0.015591778792440891, 'standard deviation': 0.002526325302027605}"
"{'interval_start': '2019-07-15T00:00:00Z', 'max': '2019-07-21T13:30:23.007000Z', 'min': '2019-07-16T11:41:55.393000Z'}","{'average': 0.030810991094544406, 'count': 1319, 'max': 0.04662172123789787, 'min': 0.021586261689662933, 'standard deviation': 0.0035283006617274114}"
"{'interval_start': '2019-07-22T00:00:00Z', 'max': '2019-07-28T12:58:52.290000Z', 'min': '2019-07-22T11:29:42.530000Z'}","{'average': 0.02975242330197452, 'count': 1243, 'max': 0.03567607328295708, 'min': 0.02164342999458313, 'standard deviation': 0.0020716360637422007}"
