Date,Smartphones,Laptops,Tablets,Wearables,VR Headsets
2023-01-01,200,100,80,50,30
2023-01-08,220,120,90,60,35
2023-01-15,250,150,100,70,40
2023-01-22,260,160,110,75,45
2023-01-29,280,170,120,80,50
2023-02-05,300,180,130,85,55
2023-02-12,320,190,140,90,60
2023-02-19,340,200,150,95,65
2023-02-26,360,210,160,100,70
2023-03-05,380,220,170,105,75
2023-03-12,400,230,180,110,80
2023-03-19,420,240,190,115,85
2023-03-26,440,250,200,120,90
2023-04-02,460,260,210,125,95
2023-04-09,480,270,220,130,100
2023-04-16,500,280,230,135,105
2023-04-23,520,290,240,140,110
2023-04-30,540,300,250,145,115
2023-05-07,560,310,260,150,120
