Month,Online,In-Store,Subscriptions
Jan-2021,500,300,200
Feb-2021,550,350,250
Mar-2021,600,400,300
Apr-2021,650,450,350
May-2021,700,500,400
Jun-2021,750,550,450
Jul-2021,800,600,500
Aug-2021,850,650,550
Sep-2021,900,700,600
Oct-2021,950,750,650
Nov-2021,1000,800,700
Dec-2021,1050,850,750
Jan-2022,1100,900,800
Feb-2022,1150,950,850
Mar-2022,1200,1000,900
Apr-2022,1250,1050,950
May-2022,1300,1100,1000
Jun-2022,1350,1150,1050
Jul-2022,1400,1200,1100
Aug-2022,1450,1250,1150
Sep-2022,1500,1300,1200
Oct-2022,1550,1350,1250
Nov-2022,1600,1400,1300
Dec-2022,1650,1450,1350
