Month,Desktop,Laptop,Tablet,Smartphone
January,300,500,200,400
February,320,520,210,420
March,310,510,220,430
April,330,530,230,440
May,340,540,240,450
June,350,550,250,460
July,360,560,260,470
August,370,570,270,480
September,380,580,280,490
October,390,590,290,500
November,400,600,300,510
December,410,610,310,520
January,320,510,210,410
February,330,530,220,430
March,340,540,230,440
April,350,550,240,460
May,360,560,250,470
June,370,570,260,480
July,380,580,270,490
August,390,590,280,500
September,400,600,290,510
October,410,610,300,520
November,420,620,310,530
December,430,630,320,540
