Date,Children,Teens,Adults,Seniors
2023-01-01,120,130,210,80
2023-01-02,118,135,215,85
2023-01-03,125,140,220,90
2023-01-04,130,120,230,95
2023-01-05,140,110,240,100
2023-01-06,135,115,250,105
2023-01-07,145,120,260,110
2023-01-08,130,125,270,115
2023-01-09,138,130,280,120
2023-01-10,125,135,290,125
2023-01-11,120,140,300,130
2023-01-12,128,145,310,135
2023-01-13,132,130,320,140
2023-01-14,137,125,330,145
2023-01-15,142,120,340,150
2023-01-16,147,115,350,155
2023-01-17,152,110,360,160
2023-01-18,157,105,370,165
2023-01-19,162,100,380,170
2023-01-20,167,95,390,175
2023-01-21,172,90,400,180
2023-01-22,177,85,410,185
2023-01-23,182,80,420,190
2023-01-24,187,75,430,195
2023-01-25,192,70,440,200
2023-01-26,197,65,450,205
2023-01-27,202,60,460,210
2023-01-28,207,55,470,215
2023-01-29,212,50,480,220
2023-01-30,217,45,490,225
2023-01-31,222,40,500,230
