Month,Coursera,edX,Udemy,Skillshare,Khan Academy,Codecademy,FutureLearn,Pluralsight
Jan,450,320,280,350,300,550,250,200
Feb,500,330,330,400,250,600,300,220
Mar,550,350,350,420,280,650,280,250
Apr,600,380,400,450,260,700,320,270
May,650,400,440,500,300,750,340,300
Jun,700,420,470,530,320,800,350,320
Jul,750,450,500,550,350,850,380,350
Aug,800,480,520,570,370,900,390,380
Sep,850,500,550,600,380,950,400,400
Oct,900,520,580,620,400,1000,420,420
Nov,950,550,600,640,420,1050,440,450
Dec,1000,580,630,670,450,1100,460,470
