Month,Sales,Profit,Expenses,Revenue,Losses
January,230,50,180,280,10
February,200,60,160,250,5
March,250,70,200,300,8
April,270,80,210,320,12
May,300,90,240,350,15
June,310,100,250,360,20
July,320,110,260,370,18
August,330,120,270,380,22
September,340,130,280,390,25
October,350,140,290,400,30
November,360,150,300,410,35
December,370,160,310,420,40
January,380,170,320,430,45
February,390,180,330,440,50
March,400,190,340,450,55
April,410,200,350,460,60
May,420,210,360,470,65
June,430,220,370,480,70
July,440,230,380,490,75
August,450,240,390,500,80
September,460,250,400,510,85
October,470,260,410,520,90
November,480,270,420,530,95
December,490,280,430,540,100
