Month,Stars,Galaxies,Planets,Comets,Asteroids
2023-01,200,100,80,50,30
2023-02,220,120,90,60,35
2023-03,250,150,100,70,40
2023-04,260,160,110,75,45
2023-05,280,170,120,80,50
2023-06,300,180,130,85,55
2023-07,320,190,140,90,60
2023-08,340,200,150,95,65
2023-09,360,210,160,100,70
2023-10,380,220,170,105,75
2023-11,400,230,180,110,80
2023-12,420,240,190,115,85
2024-01,440,250,200,120,90
2024-02,460,260,210,125,95
2024-03,480,270,220,130,100
2024-04,500,280,230,135,105
2024-05,520,290,240,140,110
2024-06,540,300,250,145,115
