Month,Technology,Healthcare,Finance,Retail
January,45000,30000,35000,40000
February,46000,31000,36000,41000
March,47000,32000,37000,42000
April,48000,33000,38000,43000
May,49000,34000,39000,44000
June,50000,35000,40000,45000
July,51000,36000,41000,46000
August,52000,37000,42000,47000
September,53000,38000,43000,48000
October,54000,39000,44000,49000
November,55000,40000,45000,50000
December,56000,41000,46000,51000
January,47000,32000,37000,42000
February,48000,33000,38000,43000
March,49000,34000,39000,44000
April,50000,35000,40000,45000
May,51000,36000,41000,46000
June,52000,37000,42000,47000
July,53000,38000,43000,48000
August,54000,39000,44000,49000
September,55000,40000,45000,50000
October,56000,41000,46000,51000
November,57000,42000,47000,52000
December,58000,43000,48000,53000
