Region,Happiness Index,Life Expectancy,Population,Continent
North America,7.2,79,370.0,Americas
South America,6.3,76,430.0,Americas
Europe,7.5,82,740.0,Europe
Asia,5.6,75,4600.0,Asia
Africa,4.2,64,1300.0,Africa
Australia,7.8,83,25.0,Oceania
Central America,6.0,74,180.0,Americas
Middle East,5.2,72,450.0,Asia
Eastern Europe,6.1,77,290.0,Europe
Southeast Asia,5.3,73,670.0,Asia
Caribbean,5.9,70,44.0,Americas
Central Asia,5.4,70,75.0,Asia
Northern Europe,7.6,80,100.0,Europe
Southern Africa,4.1,63,70.0,Africa
Western Asia,5.8,71,320.0,Asia
Scandinavia,8.0,82,20.0,Europe
South Asia,5.5,68,1600.0,Asia
Western Europe,7.4,81,400.0,Europe
Eastern Asia,6.5,78,1500.0,Asia
Polynesia,6.8,75,3.0,Oceania
Micronesia,6.1,70,0.5,Oceania
