Athlete Name,Sport,Hours Practiced,Performance Score
Alice,Basketball,35,92
Bob,Swimming,25,85
Charlie,Running,15,78
David,Basketball,40,96
Eva,Swimming,20,80
Frank,Running,30,88
Grace,Basketball,45,99
Hannah,Swimming,10,72
Ian,Running,28,83
Jack,Basketball,38,91
Kara,Swimming,22,77
Liam,Running,32,86
Mia,Basketball,48,98
Nina,Swimming,18,75
Oliver,Running,26,79
Paul,Basketball,34,90
Quinn,Swimming,24,84
Rachel,Running,20,76
Sam,Basketball,42,94
Tina,Swimming,14,73
Uma,Running,12,70
Victor,Basketball,50,100
Wendy,Swimming,16,74
Xander,Running,22,82
Yara,Basketball,36,89
Zane,Swimming,28,86
