Store Name,Category,Units Sold,Average Unit Price (USD)
Readers' Paradise,Fiction,320,15
Knowledge Hub,Non-Fiction,180,20
Book Haven,Comics,250,10
Literary Lane,Textbooks,100,35
Story Central,Magazines,300,5
Novel Nook,E-books,400,8
Page Turners,Children's Books,220,12
Bibliophile's Corner,Poetry,150,18
Literature Lux,Science Fiction,130,25
Book Binge,Fantasy,280,22
Readers' Retreat,Biographies,90,30
Mind Expansion,Philosophy,170,27
Journal Junction,Academic Papers,140,40
Mystery Manor,Mystery,260,14
