Influence,Popularity Score,Mentions,Region
Streaming Platforms,88,1200,North America
Social Media,85,1100,Europe
Live Concerts,80,950,Asia
Music Festivals,95,1300,North America
Celebrity Endorsements,78,900,Europe
Music Awards,82,1000,Asia
Music Videos,70,750,North America
Digital Sales,65,600,Europe
Radio Airplay,68,650,Asia
Podcasts,60,500,North America
TV Shows,73,800,Europe
Music Blogs,62,550,Asia
Record Labels,75,850,North America
Indie Artists,77,900,Europe
Music Apps,67,700,Asia
Viral Challenges,79,950,North America
Music Production Technology,72,800,Europe
Collaboration Projects,76,850,Asia
