Company,Market Cap,Average Revenue,Employee Count
Apple,2500,100,147000
Microsoft,2100,90,181000
Amazon,1700,280,1350000
Google,1600,160,150000
Facebook,900,86,58604
Tesla,800,31,70757
Alibaba,570,72,251462
Tencent,550,67,85858
Berkshire Hathaway,540,255,360000
Samsung,500,200,287439
Visa,450,24,20600
JPMorgan Chase,430,119,256981
Johnson & Johnson,400,82,134500
Walmart,370,523,2300000
Mastercard,340,18,21100
Procter & Gamble,330,76,99000
Nestle,310,93,273000
Disney,290,65,223000
Intel,270,77,110600
Coca-Cola,250,37,86200
