Country,GDP,Life Expectancy,Population
United States,21000,79,331000000
China,14140,76,1440000000
Japan,5150,84,126000000
Germany,4200,81,83000000
India,2700,69,1380000000
United Kingdom,2820,81,67000000
France,2715,82,67000000
Brazil,1839,75,212000000
Italy,2000,83,60000000
Canada,1800,82,38000000
South Korea,1690,83,52000000
Russia,1470,73,144000000
Australia,1390,83,25000000
Spain,1300,83,47000000
Mexico,1200,75,126000000
Indonesia,1150,72,273000000
Netherlands,910,82,17000000
Saudi Arabia,790,75,35000000
Turkey,760,77,84000000
Switzerland,730,83,8600000
Argentina,450,76,45000000
Sweden,530,82,10300000
Nigeria,430,54,206000000
Poland,595,78,38000000
