Athlete,Performance Score,Popularity Score,Achievements
Michael Jordan,98,97,10
Serena Williams,95,92,9
Lionel Messi,96,95,10
Usain Bolt,97,90,9
Roger Federer,93,89,10
LeBron James,94,91,9
Cristiano Ronaldo,96,93,10
Simone Biles,92,85,9
Tiger Woods,91,88,10
Tom Brady,90,87,9
Michael Phelps,99,89,10
Kobe Bryant,92,90,9
Pele,94,86,10
Mia Hamm,88,82,9
Jackie Robinson,87,80,8
Muhammad Ali,97,94,10
Babe Ruth,95,92,9
Jim Thorpe,89,78,8
Billie Jean King,86,76,8
Bo Jackson,85,75,7
Shaquille O'Neal,88,83,9
Larry Bird,87,82,9
Carl Lewis,90,85,10
Wilma Rudolph,84,77,8
Jack Nicklaus,92,80,10
