Demographic,Genre,Popularity,Streaming Hours,Trend
Teens,Pop,95,1200,Increasing
Teens,Hip-Hop,90,1100,Increasing
Young Adults,Pop,85,1000,Stable
Young Adults,Rock,80,950,Decreasing
Adults,Jazz,70,700,Stable
Adults,Classical,65,650,Increasing
Seniors,Classical,60,600,Stable
Seniors,Jazz,55,500,Decreasing
Teens,Electronic,75,850,Increasing
Young Adults,Hip-Hop,85,1050,Increasing
Adults,Rock,60,650,Stable
Seniors,Blues,50,450,Decreasing
Teens,Country,55,500,Stable
Young Adults,Country,60,550,Stable
Adults,Country,70,700,Increasing
