Landmark,Visitors (Millions),Avg Visit (Hours),Avg Spend (Dollars)
Eiffel Tower,7.0,3.0,50
Great Wall,10.0,4.0,30
Colosseum,6.0,2.5,45
Machu Picchu,3.0,5.0,60
Taj Mahal,8.0,3.5,40
Statue of Liberty,4.0,2.0,35
Acropolis,5.0,3.0,55
Stonehenge,1.0,1.5,25
Petra,2.0,4.0,50
Christ the Redeemer,3.5,2.0,45
Alhambra,4.2,3.0,35
Angkor Wat,2.5,4.0,40
Sydney Opera House,5.0,2.5,50
Hagia Sophia,3.0,2.0,30
Versailles,6.5,3.0,45
Neuschwanstein Castle,1.3,1.5,35
Mont Saint-Michel,2.8,3.0,40
Sagrada Familia,4.5,2.5,50
