Country,Month,Visitors,Daily Spend (USD),Attractions
France,January,100000,120,45
France,February,110000,125,47
France,March,130000,130,50
Spain,April,95000,110,42
Spain,May,105000,115,44
Spain,June,120000,120,46
USA,July,200000,150,60
USA,August,210000,155,62
USA,September,220000,160,65
Italy,October,95000,105,40
Italy,November,97000,108,41
Italy,December,98000,110,42
Germany,January,85000,100,35
Germany,February,87000,102,36
Germany,March,89000,104,37
Japan,April,120000,140,48
Japan,May,130000,145,50
Japan,June,140000,150,52
