City,Population,Average Temperature,Cost of Living Index
New York,8400000,12.2,100
Los Angeles,3880000,18.7,80
Chicago,2715000,10.8,70
Houston,2195000,20.8,60
Phoenix,1585000,23.9,50
Philadelphia,1553000,11.7,65
San Antonio,1435000,20.0,55
San Diego,1380000,17.6,75
Dallas,1258000,18.7,65
San Jose,998000,15.5,85
Austin,885000,20.4,65
Jacksonville,842000,21.1,70
San Francisco,837000,13.9,90
Columbus,822000,11.9,60
Charlotte,796000,15.8,70
Fort Worth,792000,18.6,55
Detroit,688000,9.9,50
El Paso,674000,20.2,40
Seattle,652000,11.4,85
Denver,649000,10.1,75
