Country,Research Papers,Funding (Million USD),Population (millions)
USA,1400,2100,331
China,1850,3100,1439
India,520,900,1380
Germany,820,340,83
Brazil,390,310,213
France,710,260,65
Canada,610,280,38
Australia,360,140,25
Spain,310,125,47
Norway,210,25,5
Denmark,160,22,6
Ireland,110,17,5
Mexico,230,195,129
UK,810,210,68
Italy,410,160,60
South Korea,510,305,52
Russia,610,510,144
Japan,920,720,126
South Africa,320,110,60
Netherlands,540,190,17
Sweden,480,150,10
Belgium,360,130,11
Switzerland,380,140,8
