Factor,Impact Score,Mentions,Region
Social Media,90,850,North America
Celebrity Influence,85,700,Europe
Cultural Events,75,500,Asia
Street Fashion,80,600,North America
Fashion Weeks,95,950,Europe
Sustainability,70,400,Asia
Technology,65,350,North America
Economic Factors,60,300,Europe
Historical Influence,55,250,Asia
Designer Brands,85,700,Europe
Streetwear,78,550,North America
Music Industry,68,420,Asia
TV Shows,73,480,North America
Economic Crises,62,320,Europe
Political Movements,69,440,Asia
Technological Advancements,75,510,Europe
Environmental Awareness,77,530,North America
Cultural Festivals,82,600,Asia
