Innovation,Impact Score,Adoption Rate,Innovation Score
Smartphones,95,98,10
Electric Cars,90,85,9
Internet,98,99,10
3D Printing,80,75,8
Artificial Intelligence,93,90,10
Blockchain,85,70,8
Wearable Tech,82,77,8
Smart Home Devices,87,82,9
Augmented Reality,88,78,9
Virtual Reality,86,76,8
5G Networks,89,83,9
Quantum Computing,92,60,10
Drones,84,79,8
Gene Editing,90,65,9
Solar Power,91,80,9
Wind Power,88,78,8
Cryptocurrencies,85,70,8
Telemedicine,87,82,9
Biometric Security,86,79,8
Self-Driving Cars,94,72,10
