Activity,Hours Spent per Year,Participants (Millions),Region
Beach Vacation,120,150,North America
Mountain Hiking,80,130,Europe
City Tours,90,170,Asia
Cruise Trips,100,140,North America
Desert Safari,70,60,Asia
Wildlife Safari,110,80,Africa
Historical Tours,60,90,Europe
Cultural Festivals,50,100,Asia
Winter Sports,120,110,North America
Trekking,130,70,Asia
Food Tours,80,50,Europe
Island Hopping,90,100,Oceania
Theme Parks,110,140,North America
Skiing,100,130,Europe
Cycling Tours,70,60,Asia
Camping,90,80,North America
Scuba Diving,80,90,Asia
Road Trips,100,110,Europe
Bird Watching,60,50,Africa
