Theory,Influence Score,Popularity Score,Key Principles
Psychoanalysis,92,85,10
Behaviorism,88,80,8
Cognitive Psychology,95,90,9
Humanistic Psychology,85,78,7
Evolutionary Psychology,80,75,6
Gestalt Psychology,83,77,8
Positive Psychology,87,84,7
Social Psychology,90,88,9
Cultural Psychology,78,70,6
Developmental Psychology,82,74,8
Biopsychology,81,73,7
Educational Psychology,79,72,7
Health Psychology,85,80,8
Forensic Psychology,76,68,6
Neuropsychology,89,83,9
Environmental Psychology,77,69,6
Clinical Psychology,84,79,8
Industrial-Organizational Psychology,80,75,7
Psychometrics,75,65,6
Sports Psychology,78,70,7
