City,Continent,Average Monthly Temperature (°C),Rainfall (mm)
New York,North America,12,100
Los Angeles,North America,18,30
London,Europe,11,70
Paris,Europe,12,55
Tokyo,Asia,16,120
Sydney,Australia,20,80
Cairo,Africa,25,5
Mumbai,Asia,27,210
Rio de Janeiro,South America,24,130
Moscow,Europe,5,60
Beijing,Asia,13,70
Cape Town,Africa,17,50
Mexico City,North America,15,100
Berlin,Europe,10,45
Buenos Aires,South America,18,85
Jakarta,Asia,28,230
Bangkok,Asia,29,250
Lagos,Africa,26,200
Singapore,Asia,27,220
