Sport,Athlete,Workout Hours,Score
Running,Athlete A,10,85
Running,Athlete B,15,90
Swimming,Athlete C,12,88
Swimming,Athlete D,20,95
Cycling,Athlete E,8,80
Cycling,Athlete F,18,92
Weightlifting,Athlete G,14,87
Weightlifting,Athlete H,22,93
Running,Athlete I,16,91
Running,Athlete J,7,78
Swimming,Athlete K,25,98
Swimming,Athlete L,6,72
Cycling,Athlete M,11,84
Cycling,Athlete N,9,81
Weightlifting,Athlete O,17,89
Weightlifting,Athlete P,13,85
Running,Athlete Q,21,94
Running,Athlete R,19,92
Swimming,Athlete S,5,70
Swimming,Athlete T,14,86
Cycling,Athlete U,20,88
Cycling,Athlete V,10,75
Weightlifting,Athlete W,16,90
Weightlifting,Athlete X,8,82
Running,Athlete Y,18,89
Running,Athlete Z,12,85
