Country,GDP (trillion $),Literacy Rate (%),Population (millions)
United States,21.43,99.0,331.0
China,14.34,96.8,1441.0
Japan,5.08,99.0,126.0
Germany,3.86,99.0,83.0
India,2.87,74.4,1380.0
United Kingdom,2.83,99.0,67.0
France,2.72,99.0,67.0
Brazil,2.06,93.2,213.0
Italy,2.0,99.0,60.0
Canada,1.74,99.0,38.0
Russia,1.64,99.7,146.0
South Korea,1.63,97.9,52.0
Australia,1.39,99.0,25.0
Spain,1.39,98.4,47.0
Mexico,1.27,95.4,128.0
Indonesia,1.12,95.4,273.0
Netherlands,0.91,99.0,17.0
Saudi Arabia,0.78,95.3,35.0
Turkey,0.76,96.2,84.0
Switzerland,0.73,99.0,8.5
