Country,Education Output,Investment (Million USD),Population (millions)
USA,1250,2000,331
China,1750,2900,1439
India,480,850,1380
Germany,780,320,83
Brazil,350,280,213
France,680,240,65
Canada,570,260,38
Australia,330,130,25
Spain,290,115,47
Norway,190,22,5
Denmark,150,20,6
Ireland,100,15,5
Mexico,210,180,129
UK,770,190,68
Italy,380,150,60
South Korea,480,290,52
Russia,580,480,144
Japan,870,680,126
South Africa,300,100,60
Netherlands,510,180,17
Sweden,450,140,10
Belgium,340,120,11
Switzerland,360,130,8
