Workout Type,Exercise Duration (Minutes),Calorie Burn (Calories),Average Enjoyment Rating
Yoga,60,300,4.8
Running,45,500,4.5
Cycling,30,400,4.7
Swimming,50,450,4.6
Strength Training,40,350,4.3
HIIT,20,600,4.2
Pilates,55,280,4.9
Dancing,35,320,4.8
Boxing,30,400,4.4
Rowing,25,380,4.1
Jump Rope,15,420,4.0
Walking,60,250,4.7
Hiking,120,600,4.6
CrossFit,30,500,4.2
Zumba,40,350,4.9
Climbing,60,480,4.5
Tennis,90,600,4.8
Basketball,60,550,4.7
Soccer,90,700,4.6
Golf,120,300,4.4
Surfing,60,450,4.5
Skiing,120,700,4.8
