Country,Tourist Arrivals,Tourism Revenue (Million USD),Population (millions)
USA,77000,250000,331
China,65000,120000,1439
France,89000,84000,65
Spain,83000,68000,47
Italy,62000,49000,60
UK,41000,58000,68
Germany,39000,51000,83
Thailand,38000,57000,70
Japan,34000,46000,126
Mexico,32000,33000,129
Turkey,45000,34000,85
Australia,10000,15000,25
Canada,20000,17000,38
Brazil,8000,9000,213
Russia,24000,12000,144
India,17000,30000,1380
South Korea,15000,18000,52
Singapore,16000,19000,6
Indonesia,13000,14000,273
South Africa,10000,12000,60
