Athlete,Performance Score,Popularity Score,Championships
LeBron James,95,98,4
Serena Williams,92,96,23
Lionel Messi,94,97,10
Cristiano Ronaldo,93,99,7
Roger Federer,91,95,20
Tom Brady,89,92,7
Michael Phelps,97,94,23
Usain Bolt,96,93,8
Simone Biles,98,89,32
Tiger Woods,90,90,15
Stephen Curry,87,91,4
Rafael Nadal,92,88,21
Novak Djokovic,93,89,20
Kevin Durant,86,85,2
Lewis Hamilton,95,90,7
Naomi Osaka,88,87,4
Kylian Mbappe,91,92,5
Giannis Antetokounmpo,89,86,1
Virat Kohli,90,93,0
Megan Rapinoe,85,88,2
