Region,Year,Food,Calories,Average Cost ($)
Northville,2023,Vegetables,1500,5.0
Southtown,2023,Fruits,1200,6.0
Eastside,2023,Meat,2000,15.0
Westburg,2023,Dairy,1000,4.0
Central Station,2023,Grains,1800,3.0
Highland Park,2023,Seafood,1600,12.0
Riverdale,2023,Vegetables,1400,4.5
Cliffside,2023,Fruits,1300,5.5
Lakeshore,2023,Meat,2100,16.0
Bridgetown,2023,Dairy,1100,4.2
Old Town,2023,Grains,1700,2.8
Maplewood,2023,Seafood,1550,11.0
Seaside,2023,Vegetables,1450,4.8
Uptown,2023,Fruits,1250,5.8
Downtown,2023,Meat,2050,15.5
Greenville,2023,Dairy,1050,3.9
Hilltop,2023,Grains,1750,3.1
Meadowbrook,2023,Seafood,1650,12.5
