Sport,Participant,Exercise Duration,Calories Burned
Running,Participant A,30,300
Running,Participant B,45,450
Swimming,Participant C,35,400
Swimming,Participant D,50,550
Cycling,Participant E,25,250
Cycling,Participant F,40,420
Yoga,Participant G,60,200
Yoga,Participant H,45,180
Running,Participant I,50,500
Running,Participant J,20,200
Swimming,Participant K,55,600
Swimming,Participant L,30,350
Cycling,Participant M,45,450
Cycling,Participant N,35,370
Yoga,Participant O,50,210
Yoga,Participant P,55,230
Running,Participant Q,60,600
Running,Participant R,40,400
Swimming,Participant S,25,300
Swimming,Participant T,20,250
Cycling,Participant U,60,550
Cycling,Participant V,50,500
Yoga,Participant W,40,170
Yoga,Participant X,30,140
