Sport,Player,Salary,Performance Rating
Basketball,Player A,4500000,8.7
Basketball,Player B,12000000,9.2
Soccer,Player C,7000000,8.5
Soccer,Player D,15000000,9.3
Tennis,Player E,8000000,8.9
Tennis,Player F,9500000,9.0
Baseball,Player G,5000000,8.2
Baseball,Player H,11000000,9.1
Cricket,Player I,6000000,8.4
Cricket,Player J,10000000,9.0
Football,Player K,6500000,8.6
Football,Player L,13000000,9.2
Hockey,Player M,4500000,8.1
Hockey,Player N,10500000,9.0
Rugby,Player O,5500000,8.3
Rugby,Player P,12000000,9.1
Golf,Player Q,7000000,8.8
Golf,Player R,9800000,9.1
Boxing,Player S,8000000,8.9
Boxing,Player T,11500000,9.3
