Region,Exercise Hours,Health Index,Population,Continent
North America,7.2,78,370,Americas
South America,6.0,75,430,Americas
Europe,6.8,82,740,Europe
Asia,5.4,73,4600,Asia
Africa,4.0,64,1300,Africa
Australia,7.0,83,25,Oceania
Central America,6.5,76,180,Americas
Middle East,5.5,70,450,Asia
Eastern Europe,5.8,74,290,Europe
Southeast Asia,5.6,71,670,Asia
Sub-Saharan Africa,3.5,60,950,Africa
Western Asia,5.2,69,550,Asia
Northern Europe,7.1,84,200,Europe
Southern Europe,6.3,80,320,Europe
East Asia,5.7,72,1400,Asia
Oceania,6.9,85,40,Oceania
