Book,Sales (millions),Average Rating,Reviews (thousands)
Book A,5.1,4.5,1000
Book B,3.7,4.0,750
Book C,7.8,4.8,2000
Book D,2.5,3.8,500
Book E,6.3,4.2,1200
Book F,1.9,3.5,400
Book G,4.5,4.1,850
Book H,5.9,4.6,1300
Book I,3.2,3.9,700
Book J,7.2,4.9,1950
Book K,4.8,4.3,900
Book L,6.5,4.7,1500
Book M,3.4,3.7,600
Book N,2.1,3.6,450
Book O,5.6,4.4,1100
Book P,4.9,4.5,1000
Book Q,7.1,4.8,1800
Book R,3.8,3.9,700
Book S,5.3,4.2,950
Book T,6.8,4.7,1700
Book U,2.4,3.8,500
Book V,4.2,4.1,800
Book W,6.1,4.3,1250
Book X,7.5,4.9,1900
Book Y,3.6,4.0,650
Book Z,5.4,4.4,1050
