Sector,Company,Investment Amount,ROI
Technology,Company A,10,85
Technology,Company B,15,90
Healthcare,Company C,12,88
Healthcare,Company D,20,95
Finance,Company E,8,80
Finance,Company F,18,92
Energy,Company G,14,87
Energy,Company H,22,93
Technology,Company I,16,91
Technology,Company J,7,78
Healthcare,Company K,25,98
Healthcare,Company L,6,72
Finance,Company M,11,84
Finance,Company N,9,81
Energy,Company O,17,89
Energy,Company P,13,85
Technology,Company Q,21,94
Technology,Company R,19,92
Healthcare,Company S,5,70
Healthcare,Company T,14,86
Finance,Company U,20,88
Finance,Company V,10,75
Energy,Company W,16,90
Energy,Company X,8,82
Technology,Company Y,18,89
Technology,Company Z,12,85
