Event,Years Since Event,Significance,Region
AI surpasses human intelligence,10,95,Global
Quantum computing breakthrough,8,90,USA
First fully autonomous vehicle,15,85,USA
Fusion energy commercialization,5,80,Europe
First human clone,7,75,Global
Mars colonization begins,12,70,Global
Universal translator developed,3,65,Asia
Breakthrough in nanotechnology,9,60,Global
Cure for cancer found,6,55,Global
First human on Mars,10,50,USA
Advanced AI assistants in homes,4,45,Europe
First contact with extraterrestrials,20,40,Global
Global wireless energy transfer,11,35,USA
Personalized medicine mainstream,8,30,Europe
Major breakthrough in biotechnology,5,25,Asia
