Company,Industry,Profits (USD Millions),Market Value (USD Billions)
TechCorp,Technology,4500,800
HealthPlus,Healthcare,3000,500
EcoEnergy,Energy,1500,300
AutoDrive,Automobile,2000,350
Foodies,Food & Beverage,1800,250
FinWorld,Finance,5000,950
RetailMart,Retail,2200,400
MediaHub,Media,1000,150
AgriLife,Agriculture,1200,200
EduLearn,Education,800,100
RealEstatePro,Real Estate,2500,600
FashionTrend,Fashion,700,120
PharmaCare,Pharmaceutical,3200,550
TransportNet,Transportation,1600,220
TechSolutions,Technology,4800,850
