Sector,Technology,Impact,Investment ($M),Growth Potential
Satellite Communication,5G Satellites,85,1500,High
Space Tourism,Commercial Space Flights,80,2000,High
Earth Observation,Observation Satellites,90,1800,Medium
Deep Space Exploration,Mars Rovers,75,1000,High
Asteroid Mining,Mining Robots,65,1300,Medium
Space Stations,Orbital Habitats,70,1600,Low
Space Manufacturing,Zero-G Factories,60,1100,Medium
Planetary Defense,Asteroid Deflection,95,2100,High
Satellite Internet,Broadband Satellites,85,1700,Medium
Lunar Exploration,Moon Bases,90,1900,High
