Writer,Book Count,Popularity Score,Literary Awards
J.K. Rowling,12,95,8
George R.R. Martin,15,92,6
Agatha Christie,66,89,5
J.R.R. Tolkien,23,94,9
Stephen King,63,90,7
Ernest Hemingway,10,88,10
Jane Austen,7,86,4
Charles Dickens,20,87,6
Mark Twain,33,84,5
Harper Lee,1,93,8
F. Scott Fitzgerald,9,85,5
Leo Tolstoy,20,90,7
Virginia Woolf,9,82,6
James Joyce,5,81,5
Maya Angelou,7,88,6
Toni Morrison,11,89,8
Gabriel Garcia Marquez,25,87,9
Oscar Wilde,9,83,5
H.G. Wells,30,80,4
Edgar Allan Poe,16,79,4
Arthur Conan Doyle,60,85,5
Herman Melville,12,77,3
Franz Kafka,13,76,5
J.D. Salinger,1,78,4
Emily Dickinson,10,74,3
