Sector,Technology,Impact,Investment ($M),Growth Potential
Healthcare,AI,90,1200,High
Transportation,Autonomous Vehicles,80,900,Medium
Manufacturing,Robotics,70,700,Medium
Energy,Renewable Energy,85,1100,High
Finance,Blockchain,65,500,Medium
Agriculture,Drones,50,300,Low
Education,E-Learning Platforms,75,400,High
Retail,AR/VR,55,250,Low
Security,Cybersecurity,90,950,High
Entertainment,Streaming Services,60,600,Medium
Tourism,Virtual Tours,68,750,Medium
Retail,Contactless Payments,75,550,High
Construction,3D Printing,80,820,Medium
Healthcare,Telemedicine,88,1100,High
Agriculture,Automated Irrigation,55,400,Medium
