Book,Year,Influence Score,Region
Moby Dick,1851,88,North America
War and Peace,1869,95,Europe
1984,1949,93,Europe
Pride and Prejudice,1813,90,Europe
The Great Gatsby,1925,89,North America
To Kill a Mockingbird,1960,91,North America
Don Quixote,1605,96,Europe
The Divine Comedy,1320,94,Europe
The Odyssey,-800,97,Europe
Les Misérables,1862,92,Europe
Ulysses,1922,90,Europe
The Catcher in the Rye,1951,89,North America
Brave New World,1932,88,Europe
The Hobbit,1937,90,Europe
Fahrenheit 451,1953,87,North America
Crime and Punishment,1866,91,Europe
Anna Karenina,1877,90,Europe
One Hundred Years of Solitude,1967,92,South America
The Brothers Karamazov,1880,89,Europe
Madame Bovary,1857,88,Europe
Jane Eyre,1847,89,Europe
Wuthering Heights,1847,87,Europe
The Iliad,-750,98,Europe
