Sector,Enrollment (Thousands),Graduation Rate (%),Region
Primary Education,2500,80,North America
Secondary Education,3200,75,Asia-Pacific
Higher Education,1400,85,Europe
Vocational Training,900,60,North America
Online Courses,700,50,Middle East
Adult Education,600,65,Asia-Pacific
Special Education,400,70,Europe
Early Childhood Education,1100,90,North America
Corporate Training,800,55,Europe
Language Schools,1000,75,North America
STEM Programs,950,85,Asia-Pacific
Arts & Humanities,1200,78,Europe
Technical Schools,850,65,Middle East
