Sector,Investment (Millions $),Health Impact Score,Region
Organic Foods,1200,85,North America
Plant-Based Proteins,1500,90,Asia-Pacific
Functional Foods,900,75,Europe
Dietary Supplements,800,65,North America
Natural Sweeteners,500,70,Middle East
Probiotics,1300,80,Asia-Pacific
Fortified Foods,750,60,Europe
Personalized Nutrition,600,75,North America
Nutraceuticals,2000,85,Europe
Alternative Dairy,400,55,North America
Fermented Foods,300,65,Asia-Pacific
Superfoods,1100,80,North America
Low-Fat Foods,950,70,Europe
Gluten-Free Foods,850,75,Asia-Pacific
