Book,Author,Sales,Reviews,Pages
Book A,Author 1,50000,250,300
Book B,Author 2,45000,300,280
Book C,Author 3,55000,200,350
Book D,Author 4,60000,400,400
Book E,Author 5,52000,350,320
Book F,Author 6,48000,150,290
Book G,Author 7,51000,280,310
Book H,Author 8,53000,220,330
Book I,Author 9,59000,360,370
Book J,Author 10,57000,310,340
Book K,Author 11,62000,420,380
Book L,Author 12,61000,380,360
Book M,Author 13,50000,270,300
Book N,Author 14,45000,320,280
Book O,Author 15,55000,190,350
Book P,Author 16,60000,410,400
