City,Tech Startups,Average Internet Speed,Coworking Spaces
New York,3000,120.5,150
Los Angeles,2000,110.4,130
Chicago,1800,105.6,100
San Francisco,2500,150.7,200
Austin,1600,130.8,120
Seattle,1900,140.2,110
Denver,1700,125.1,90
Boston,2200,135.3,140
San Diego,1500,115.5,100
Miami,1300,125.0,80
Dallas,1200,120.0,70
Houston,1100,118.0,60
Phoenix,1000,115.0,50
Philadelphia,900,110.0,45
Atlanta,800,108.0,40
San Jose,700,150.0,35
Detroit,600,100.0,30
Charlotte,500,105.0,25
Portland,400,110.0,20
Las Vegas,300,105.0,15
