City,Activity Name,Satisfaction out of 5,Participation,Average Cost ($)
Portland,Math Workshop,4.8,350,28.5
New York,Science Fair,4.5,640,35.0
San Francisco,Robotics Club,4.6,510,30.75
Nashville,Art Class,4.3,400,25.8
Austin,Literature Group,4.5,370,22.2
Denver,Music Class,4.9,320,29.6
Chicago,Coding Bootcamp,4.7,690,31.95
Seattle,Photography Workshop,4.7,450,26.7
Boston,History Seminar,4.2,480,24.3
Los Angeles,Drama Class,4.8,550,38.1
Miami,Language Course,4.4,390,27.45
Atlanta,Public Speaking Workshop,4.6,410,26.25
Dallas,Writing Club,4.3,300,23.5
Houston,Debate Club,4.6,470,27.1
Philadelphia,Chess Club,4.5,350,21.3
