Genre,Book Title,Reading Time,Enjoyment,Complexity Level
Fiction,Book A,120,8,5
Non-Fiction,Book B,90,7,6
Science Fiction,Book C,60,9,4
Mystery,Book D,80,8,5
Fantasy,Book E,150,9,7
Biography,Book F,100,7,6
Fiction,Book G,110,8,5
Non-Fiction,Book H,95,6,6
Science Fiction,Book I,70,9,4
Mystery,Book J,85,8,5
Fantasy,Book K,160,9,7
Biography,Book L,105,7,6
Fiction,Book M,115,8,5
Non-Fiction,Book N,100,6,6
Science Fiction,Book O,75,9,4
Mystery,Book P,90,8,5
Fantasy,Book Q,155,9,7
Biography,Book R,110,7,6
