Sector,Investment (Millions $),Efficiency Score,Region
Rocket Propulsion,2500,95,North America
Satellite Technology,1800,90,Europe
Space Habitats,1500,85,Asia
Asteroid Mining,1000,75,North America
Space Tourism,1300,80,Europe
Robotic Exploration,900,70,Asia
Interstellar Travel,700,65,North America
Space Stations,1600,88,Europe
Space Telescopes,1200,82,Asia
Lunar Bases,1100,78,North America
Mars Colonization,1400,84,Europe
Space Agriculture,1000,75,Asia
Space Mining,1300,80,North America
Space Law,500,60,Europe
