Industry,Market Cap,Revenue,Industry Impact
Technology,1500,800,5.6
Healthcare,1200,760,5.2
Finance,1700,850,5.8
Consumer Goods,1000,900,6.2
Energy,1100,720,5.0
Utilities,950,670,4.8
Real Estate,800,930,6.5
Telecommunications,650,580,4.5
Industrials,900,710,5.1
Materials,850,640,5.3
Automobiles,1300,510,4.7
Food & Beverages,1150,860,6.1
Travel & Leisure,750,560,4.9
Retail,900,470,4.3
Education,600,540,4.1
Media,700,680,5.0
Pharmaceuticals,950,740,5.7
Biotechnology,1100,810,6.0
Insurance,850,690,5.4
Aerospace,1250,920,6.3
