City,Air Quality Index,Average Temperature (°C),Population Density (per km²)
New York,60,16,10933
Los Angeles,70,18,3276
Chicago,55,12,4600
Houston,65,20,1395
Phoenix,75,23,3120
Philadelphia,50,15,4427
San Antonio,58,21,1212
San Diego,62,17,1670
Dallas,64,19,1493
San Jose,55,16,5767
Austin,63,22,1243
Jacksonville,68,19,1212
Fort Worth,70,20,1194
Columbus,50,13,1400
San Francisco,53,15,7115
Charlotte,60,16,1061
Indianapolis,58,14,913
Seattle,55,13,3400
Denver,67,15,1739
Washington D.C.,59,14,3822
