Investment Type,Institution,Investment,Performance
Technology,School A,300000,7.5
Technology,School B,450000,8.1
Teacher Training,School C,350000,7.8
Teacher Training,School D,550000,8.6
Facilities,School E,500000,7.9
Facilities,School F,600000,8.3
Extracurricular,School G,200000,7.2
Extracurricular,School H,350000,8.0
Technology,School I,420000,8.5
Teacher Training,School J,370000,7.7
Facilities,School K,550000,8.2
Extracurricular,School L,310000,7.4
Technology,School M,480000,8.4
Teacher Training,School N,430000,8.1
Facilities,School O,620000,8.5
Extracurricular,School P,270000,7.3
Technology,School Q,350000,7.9
Teacher Training,School R,480000,8.3
Facilities,School S,500000,8.1
Extracurricular,School T,330000,7.6
