Destination,Activity,Date,Visitor Count,Cost per Day ($),Median Visitor Age
Paris,Sightseeing,June 15th,2000,150,35
New York,Shopping,June 15th,1800,200,30
Tokyo,Cultural Tour,June 15th,1200,180,40
Sydney,Beach,June 15th,1500,100,25
Rome,Historical Sites,June 15th,1300,130,45
Cape Town,Adventure,June 15th,1000,90,28
Rio de Janeiro,Carnival,June 15th,1100,120,33
Bangkok,Nightlife,June 15th,1600,80,29
London,Museums,June 15th,1700,160,38
Istanbul,Market,June 15th,900,70,32
Barcelona,Art Tour,June 15th,1400,110,27
Los Angeles,Hollywood Tour,June 15th,1900,190,26
Dubai,Luxury Shopping,June 15th,1250,250,35
Marrakesh,Desert Tour,June 15th,950,100,34
Bali,Yoga Retreat,June 15th,1050,85,29
