 
Date,Steps
2023-01-01,5000
2023-01-02,5500
2023-01-03,5800
2023-01-04,6100
2023-01-05,6300
2023-01-06,6700
2023-01-07,7200
2023-01-08,7500
2023-01-09,8000
2023-01-10,8300
2023-01-11,7900
2023-01-12,8500
2023-01-13,9000
2023-01-14,9400
2023-01-15,9700
2023-01-16,10000
2023-01-17,10500
2023-01-18,10800
2023-01-19,11200
2023-01-20,11500
2023-01-21,11800
2023-01-22,12000
2023-01-23,12300
2023-01-24,12500
2023-01-25,12800
2023-01-26,13000
2023-01-27,13500
2023-01-28,13800
2023-01-29,14000
2023-01-30,14200
2023-01-31,14500
""
