""
Date,Steps
2023-01-01,5000
2023-01-02,5200
2023-01-03,4800
2023-01-04,5500
2023-01-05,6000
2023-01-06,6100
2023-01-07,6300
2023-01-08,7000
2023-01-09,6900
2023-01-10,7200
2023-01-11,7400
2023-01-12,7500
2023-01-13,7600
2023-01-14,7800
2023-01-15,8000
2023-01-16,8200
2023-01-17,8500
2023-01-18,8300
2023-01-19,8600
2023-01-20,8800
2023-01-21,8700
2023-01-22,9000
2023-01-23,9200
2023-01-24,9100
2023-01-25,9400
2023-01-26,9500
2023-01-27,9700
2023-01-28,9800
2023-01-29,10000
2023-01-30,10200
2023-01-31,10400
""
