""
Date,Temperature
2023-01-01,15.2
2023-01-02,16.0
2023-01-03,14.8
2023-01-04,15.5
2023-01-05,15.1
2023-01-06,14.7
2023-01-07,14.9
2023-01-08,15.3
2023-01-09,15.6
2023-01-10,15.9
2023-01-11,16.2
2023-01-12,16.1
2023-01-13,15.8
2023-01-14,15.5
2023-01-15,15.4
2023-01-16,15.3
2023-01-17,15.6
2023-01-18,15.7
2023-01-19,15.8
2023-01-20,16.0
2023-01-21,16.2
2023-01-22,16.5
2023-01-23,16.8
2023-01-24,16.7
2023-01-25,16.5
2023-01-26,16.2
2023-01-27,16.0
2023-01-28,15.8
2023-01-29,15.7
2023-01-30,15.9
2023-01-31,16.1
""
