""
Date,Steps
2023-03-01,5000
2023-03-02,5200
2023-03-03,4800
2023-03-04,5500
2023-03-05,5700
2023-03-06,5900
2023-03-07,6100
2023-03-08,6300
2023-03-09,6000
2023-03-10,6500
2023-03-11,6700
2023-03-12,6900
2023-03-13,7100
2023-03-14,7300
2023-03-15,7500
2023-03-16,7700
2023-03-17,7900
2023-03-18,8100
2023-03-19,8300
2023-03-20,8500
2023-03-21,8700
2023-03-22,8900
2023-03-23,9100
2023-03-24,9300
2023-03-25,9500
2023-03-26,9700
2023-03-27,9900
2023-03-28,10100
2023-03-29,10300
2023-03-30,10500
2023-03-31,10700
""
