""
Date,Streaming Hours
2023-01-01,1200
2023-01-02,1250
2023-01-03,1300
2023-01-04,1350
2023-01-05,1400
2023-01-06,1450
2023-01-07,1500
2023-01-08,1550
2023-01-09,1600
2023-01-10,1650
2023-01-11,1700
2023-01-12,1750
2023-01-13,1800
2023-01-14,1850
2023-01-15,1900
2023-01-16,1950
2023-01-17,2000
2023-01-18,2050
2023-01-19,2100
2023-01-20,2150
2023-01-21,2200
2023-01-22,2250
2023-01-23,2300
2023-01-24,2350
2023-01-25,2400
2023-01-26,2450
2023-01-27,2500
2023-01-28,2550
2023-01-29,2600
2023-01-30,2650
2023-01-31,2700
""
