""
Date,Steps Walked
2023-06-01,5000
2023-06-02,5200
2023-06-03,5400
2023-06-04,5600
2023-06-05,5800
2023-06-06,6000
2023-06-07,6200
2023-06-08,6400
2023-06-09,6600
2023-06-10,6800
2023-06-11,7000
2023-06-12,7200
2023-06-13,7400
2023-06-14,7600
2023-06-15,7800
2023-06-16,8000
2023-06-17,8200
2023-06-18,8400
2023-06-19,8600
2023-06-20,8800
2023-06-21,9000
2023-06-22,9200
2023-06-23,9400
2023-06-24,9600
2023-06-25,9800
2023-06-26,10000
2023-06-27,10200
2023-06-28,10400
2023-06-29,10600
2023-06-30,10800
""
