""
date,hours_spent
2023-01-01,2.4
2023-01-02,2.5
2023-01-03,2.8
2023-01-04,2.6
2023-01-05,3.0
2023-01-06,3.2
2023-01-07,2.9
2023-01-08,2.7
2023-01-09,3.1
2023-01-10,3.3
2023-01-11,3.5
2023-01-12,3.6
2023-01-13,3.4
2023-01-14,3.7
2023-01-15,3.8
2023-01-16,4.0
2023-01-17,4.2
2023-01-18,4.1
2023-01-19,4.3
2023-01-20,4.4
2023-01-21,4.5
2023-01-22,4.6
2023-01-23,4.4
2023-01-24,4.2
2023-01-25,4.1
2023-01-26,4.3
2023-01-27,4.5
2023-01-28,4.6
2023-01-29,4.7
2023-01-30,4.8
2023-01-31,4.9
2023-02-01,5.0
...
2023-12-31,3.9
""
