""
Date,Step Counts
2023-01-01,5000
2023-01-02,5200
2023-01-03,5300
2023-01-04,5100
2023-01-05,5500
2023-01-06,5800
2023-01-07,6000
2023-01-08,6200
2023-01-09,6300
2023-01-10,6500
2023-01-11,6700
2023-01-12,6900
2023-01-13,7100
2023-01-14,7200
2023-01-15,7300
2023-01-16,7400
2023-01-17,7500
2023-01-18,7600
2023-01-19,7700
2023-01-20,7800
2023-01-21,7900
2023-01-22,8000
2023-01-23,8100
2023-01-24,8200
2023-01-25,8300
2023-01-26,8400
2023-01-27,8500
2023-01-28,8600
2023-01-29,8700
2023-01-30,8800
2023-01-31,8900
""
