""
Date,Calories Burned
2023-01-01,2200
2023-01-02,2300
2023-01-03,2500
2023-01-04,2600
2023-01-05,2400
2023-01-06,2700
2023-01-07,2900
2023-01-08,3100
2023-01-09,3300
2023-01-10,3500
2023-01-11,3600
2023-01-12,3700
2023-01-13,3900
2023-01-14,4000
2023-01-15,4100
2023-01-16,4200
2023-01-17,4300
2023-01-18,4400
2023-01-19,4500
2023-01-20,4600
2023-01-21,4700
2023-01-22,4800
2023-01-23,4900
2023-01-24,5000
2023-01-25,5100
2023-01-26,5200
2023-01-27,5300
2023-01-28,5400
2023-01-29,5500
2023-01-30,5600
2023-01-31,5700
""
